model_name,scan_name,mean_ssim,mean_mse,mean_psnr,mean_mae,sample_avg_ssim,sample_avg_psnr,sample_avg_mse,sample_avg_mae,mean_std,rmv,ause,spearman_corr_uncert_err,pearson_corr_uncert_err,mpiw_95
MC Dropout 30% (10),p15_01,0.9424804449081421,0.0003758499806281179,34.24985467802086,0.012621286325156689,0.9418361246585846,34.183411154470164,0.00038164443394634874,0.012711752858012914,0.001776109798811376,0.002407168038189411,0.2123661488470529,0.6210706233978271,0.47666069865226746,0.00696222
MC Dropout 30% (10),p20_01,0.93585604429245,0.00046545127406716347,33.32125776576005,0.014132347889244556,0.9351802885532379,33.25855706819421,0.0004722199635580182,0.014230493549257517,0.0019512299913913012,0.0026016677729785442,0.22036827183222188,0.5894427299499512,0.47294294834136963,0.007648673
MC Dropout 30% (10),p24_01,0.9574039578437805,0.00031047197990119457,35.07977588799485,0.010968884453177452,0.9554989397525787,34.83677602384871,0.00032833911827765403,0.01124168960377574,0.0029585976153612137,0.004226952791213989,0.17206666253152383,0.645898163318634,0.5562704801559448,0.01159749
MC Dropout 30% (10),p24_02,0.9547185897827148,0.00032792758429422975,34.84222050232408,0.011366000398993492,0.9531361222267151,34.65647966706558,0.0003422568348469213,0.011584784835577011,0.002687862841412425,0.003785398555919528,0.17943558743854535,0.618963897228241,0.5491476655006409,0.010536226
MC Dropout 30% (10),p24_03,0.9324175119400024,0.0007071532309055328,31.504864700415187,0.015074962750077248,0.9294661104679107,31.29508634479825,0.0007421502377837896,0.015439368039369582,0.004015408456325531,0.0059158229269087315,0.13088116941547964,0.6677452921867371,0.5939264297485352,0.015740128
MC Dropout 30% (10),p24_04,0.9229922294616699,0.0008426345884799957,30.74360717915446,0.016587119549512863,0.9201684474945069,30.575952292465825,0.000875799881760031,0.01691141799092293,0.004000420682132244,0.005758927669376135,0.09873164442066809,0.677750289440155,0.597628116607666,0.015681367
MC Dropout 30% (10),p24_05,0.9595615267753601,0.00033495802199468017,34.7500961671956,0.01086774468421936,0.9579441010951996,34.56454026336062,0.00034958003379870206,0.011102661769837142,0.0027133715339004993,0.0038238719571381807,0.1770465648199311,0.6340630650520325,0.5505064129829407,0.010636231
MC Dropout 30% (10),p25_01,0.9114353060722351,0.0008411457529291511,30.751287435501496,0.01830604486167431,0.9099874913692474,30.662192713382687,0.0008585799660068005,0.01850498504936695,0.0031676150392740965,0.004175418987870216,0.18844724577758049,0.6575750112533569,0.48696303367614746,0.012416846
MC Dropout 30% (10),p25_02,0.9425621032714844,0.00042734816088341177,33.69218160711287,0.013389785774052143,0.9411957621574402,33.54295582156766,0.00044228730839677153,0.01360482256859541,0.002808471443131566,0.0038651202339679003,0.20321518904330577,0.6446254253387451,0.48209235072135925,0.011009013
MC Dropout 30% (10),p25_03,0.9348304867744446,0.0005195437697693706,32.84377858754408,0.014521278440952301,0.9331487476825714,32.6880526619592,0.0005385113239753991,0.014772938378155232,0.00318261981010437,0.004355177748948336,0.17871285606111512,0.6722407341003418,0.4985800087451935,0.012475647
MC Dropout 30% (10),p25_04,0.9217826724052429,0.0007142606191337109,31.46143294106731,0.016333792358636856,0.9197633743286133,31.303903765751226,0.0007406444987282157,0.016616269946098328,0.0036051939241588116,0.005136523395776749,0.13068417086288256,0.7057297229766846,0.5484980940818787,0.014132132
MC Dropout 30% (10),p26_01,0.9053705334663391,0.0009921097662299871,30.034402751938533,0.019265063107013702,0.9038396358489991,29.934555841267667,0.00101518330629915,0.019483444467186927,0.0033158226870000362,0.004803494084626436,0.19320583469442285,0.6904754042625427,0.49170443415641785,0.012997797
MC Dropout 30% (10),p27_01,0.9534999132156372,0.00033187418011948466,34.79026534478481,0.011637238785624504,0.9519566237926483,34.61177603217779,0.0003457980579696596,0.01184727055951953,0.0026702682953327894,0.003731465432792902,0.20400381568511955,0.5972982048988342,0.5354451537132263,0.01046725
MC Dropout 30% (10),p28_01,0.8448750376701355,0.0016028434038162231,27.951089057061115,0.028110772371292114,0.8433508098125457,27.868884657315807,0.00163347152993083,0.028357648849487306,0.004252423532307148,0.005534268915653229,0.28216264366217186,0.5115364789962769,0.38677841424942017,0.016669217
MC Dropout 30% (10),p28_02,0.9459121823310852,0.0004866396193392575,33.12792536260168,0.014181452803313732,0.9443491697311401,32.94134554950105,0.0005080021743196994,0.014475102536380291,0.003393500344827771,0.004621961619704962,0.2112240196304611,0.611072301864624,0.5171050429344177,0.013302277
MC Dropout 30% (10),p29_01,0.9418516159057617,0.000528805423527956,32.767040992936245,0.014745551161468029,0.9403592109680176,32.58988058758512,0.0005508230067789554,0.015031000413000584,0.003422285197302699,0.004692284390330315,0.17668410195810397,0.6495038866996765,0.52798992395401,0.013415133
MC Dropout 30% (10),p29_02,0.9374591708183289,0.0005783354281447828,32.378202025148354,0.015284685418009758,0.9356681704521179,32.17463038180015,0.0006060898827854544,0.015623943600803613,0.0038372271228581667,0.005268245004117489,0.16233712011483864,0.6539514660835266,0.5415604114532471,0.015041639
MC Dropout 30% (10),p30_01,0.9297417402267456,0.0005608299397863448,32.511688097045216,0.014933382160961628,0.9281455695629119,32.37683772964911,0.0005785174493212253,0.015142014529556037,0.0029861938674002886,0.004205651581287384,0.15306661389841475,0.6603440046310425,0.5391014218330383,0.011705681
MC Dropout 30% (10),p30_02,0.9367905855178833,0.0004694162053056061,33.28441921654087,0.01402105949819088,0.9352898836135864,33.14658138398492,0.00048455377691425383,0.01422153301537037,0.002830673474818468,0.00389070063829422,0.20147904772904895,0.6220412254333496,0.5120441913604736,0.011096047
MC Dropout 30% (10),p30_03,0.9324210286140442,0.0005386972334235907,32.68655254845642,0.014106303453445435,0.9309054136276245,32.555444834075175,0.0005552079761400819,0.014319820236414671,0.0028923223726451397,0.004063342697918415,0.18115205794667594,0.6402955055236816,0.5115895867347717,0.011337702
MC Dropout 30% (10),p31_01,0.9565738439559937,0.00029354021535255015,35.323323914887276,0.010655611753463745,0.9550460994243621,35.123019894571925,0.0003073959785979241,0.01088328929618001,0.0026306179352104664,0.0037223375402390957,0.1841466203509547,0.6937793493270874,0.5365402698516846,0.010311836
