model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,mean_pred_avg_intensity,mean_pred_avg_intensity,mean_pred_rms_intensity,mean_pred_rms_intensity,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,sample_avg_intensity,sample_avg_intensity,sample_rms_intensity,sample_rms_intensity,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0%,0.9571427802244822,0.008322235638314836,0.00031314756779465824,7.602896559302157e-05,35.13116028971456,0.9171431717897123,0.01026160983989636,0.000795143617976975,0.126418457676967,0.02729138988717719,0.22416055450836816,0.01889905142597906,0.9571427802244822,0.008322235638314836,35.13116028971456,0.9171431717897123,0.00031314756779465824,7.602896559302157e-05,0.01026160983989636,0.000795143617976975,0.126418457676967,0.02729138988717719,0.22416055450836816,0.01889905142597906,0.0,0.0,0.0,0.0,0.6812038876851466,0.06392907554673063,0.017674917859646182,0.04136983293111713,0.0,0.0,0.0,0.0
15%,0.9596283733844757,0.00857866463033963,0.00028808327139510464,8.269418448231273e-05,35.52427515419132,1.0541635104105378,0.009843989120175442,0.0008375322231694088,0.12639143566290537,0.027239815907857224,0.22425130506356558,0.01891229633883497,0.9596283733844757,0.00857866463033963,35.52427515419132,1.0541635104105378,0.00028808327139510464,8.269418448231273e-05,0.009843989120175442,0.0008375322231694088,0.12639143566290537,0.027239815907857224,0.22425130506356558,0.01891229633883497,0.0,0.0,0.0,0.0,0.674838201181431,0.06617311890325761,0.017982976394705474,0.04236799250412509,0.0,0.0,0.0,0.0
30%,0.9592021902402242,0.008699784217140925,0.0002926082427923878,8.680699309166935e-05,35.46305959709118,1.0781914003622144,0.009899066761136055,0.0008736690582522083,0.12647859752178192,0.027278490569817623,0.22428818543752035,0.018862556463834796,0.9592021902402242,0.008699784217140925,35.46305959709118,1.0781914003622144,0.0002926082427923878,8.680699309166935e-05,0.009899066761136055,0.0008736690582522083,0.12647859752178192,0.027278490569817623,0.22428818543752035,0.018862556463834796,0.0,0.0,0.0,0.0,0.6751257581543676,0.0624954982062395,0.017298549918147426,0.04178725336372933,0.0,0.0,0.0,0.0
