model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,mean_pred_avg_intensity,mean_pred_avg_intensity,mean_pred_rms_intensity,mean_pred_rms_intensity,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,sample_avg_intensity,sample_avg_intensity,sample_rms_intensity,sample_rms_intensity,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0% 0%,0.9583848615487417,0.007592377462076288,0.0003082909048922981,7.32245440326679e-05,35.195511021301705,0.8994116941774379,0.010399510463078817,0.000721739059028224,0.12721654027700424,0.02741637881112946,0.22453672190507254,0.01887361850205976,0.9583848615487417,0.007592377462076288,35.195511021301705,0.8994116941774379,0.0003082909048922981,7.32245440326679e-05,0.010399510463078817,0.000721739059028224,0.12721654027700424,0.02741637881112946,0.22453672190507254,0.01887361850205976,0.0,0.0,0.0,0.0,0.6599467553895557,0.05596347975270655,-0.04034314940993985,0.03948827807821752,0.0,0.0,0.0,0.0
15% 0%,0.9612945020198822,0.007807307885805933,0.000277666695183143,7.885951215493234e-05,35.68264139063175,1.0498718969103626,0.009849326374630133,0.0007470758873862754,0.12632437547047934,0.027131794965990857,0.22365864366292953,0.018771617258950907,0.9612945020198822,0.007807307885805933,35.68264139063175,1.0498718969103626,0.000277666695183143,7.885951215493234e-05,0.009849326374630133,0.0007470758873862754,0.12632437547047934,0.027131794965990857,0.22365864366292953,0.018771617258950907,0.0,0.0,0.0,0.0,0.6551574755626272,0.06410344451522795,-0.04836469081540903,0.02228130084145174,0.0,0.0,0.0,0.0
15% 15%,0.9616242547829946,0.008009210877277443,0.00026921819274624187,7.91405943681233e-05,35.82420981960704,1.079683806255813,0.00978033725793163,0.0007743505121012648,0.12683159609635672,0.0273212042853817,0.22427401691675186,0.018849830846958803,0.9616242547829946,0.008009210877277443,35.82420981960704,1.079683806255813,0.00026921819274624187,7.91405943681233e-05,0.00978033725793163,0.0007743505121012648,0.12683159609635672,0.0273212042853817,0.22427401691675186,0.018849830846958803,0.0,0.0,0.0,0.0,0.6516231131013976,0.06471633408764914,-0.04279272423203414,0.03365538245902157,0.0,0.0,0.0,0.0
15% 30%,0.9613952934741974,0.007970985619309014,0.0002705625302041881,7.933627499277318e-05,35.801653317525954,1.0748662962528672,0.009853892183552185,0.0007650167729564072,0.12682717790206274,0.027323237395926608,0.22415718684593836,0.018833374341373995,0.9613952934741974,0.007970985619309014,35.801653317525954,1.0748662962528672,0.0002705625302041881,7.933627499277318e-05,0.009853892183552185,0.0007650167729564072,0.12682717790206274,0.027323237395926608,0.22415718684593836,0.018833374341373995,0.0,0.0,0.0,0.0,0.6473845646996491,0.059589170068521796,-0.03741105735146751,0.03920851908011599,0.0,0.0,0.0,0.0
