model_name,scan_name,mean_ssim,mean_mse,mean_psnr,mean_mae,sample_avg_ssim,sample_avg_psnr,sample_avg_mse,sample_avg_mae,mean_std,rmv,ause,spearman_corr_uncert_err,pearson_corr_uncert_err,mpiw_95
Ensemble (07),p18_01,0.9381008148193359,0.0005659617017954588,32.47212956199798,0.015178290195763111,0.9268655351230076,31.399312546762093,0.0007248271223423737,0.017254824084895,0.009745786897838116,0.0126041816547513,0.20170481427929945,0.6594902873039246,0.497749388217926,0.038202796
Ensemble (07),p22_01,0.9004995226860046,0.0011934884823858738,29.231817677426015,0.02462235651910305,0.8883116500718253,28.604458638123713,0.001379099491584514,0.02646498302263873,0.01162328664213419,0.013623914681375027,0.2889422724829592,0.46191856265068054,0.4104839265346527,0.04556245
Ensemble (07),p26_01,0.9219262599945068,0.0009352260385639966,30.29083410050627,0.01976299285888672,0.9101360695702689,29.457277562182718,0.0011340270783486111,0.021861594170331955,0.011000596918165684,0.014099680818617344,0.21510514370221082,0.6428059339523315,0.47786957025527954,0.043121535
Ensemble (07),p26_02,0.928387463092804,0.0006035983678884804,32.19251943213851,0.018007954582571983,0.917056747845241,31.324628707449858,0.0007371964082787079,0.019808140716382434,0.009855389595031738,0.011558461003005505,0.30631438932123983,0.39557188749313354,0.3474508821964264,0.038632397
Ensemble (07),p26_03,0.8928506970405579,0.0011598437558859587,29.35600511227251,0.02429722249507904,0.8750126191547939,28.468712316347034,0.0014232409386230366,0.026861116822276796,0.013735391199588776,0.01622951589524746,0.29339919010348675,0.44584524631500244,0.4013326168060303,0.0538417
Ensemble (07),p27_01,0.8960765600204468,0.0015617008320987225,28.06402158302925,0.025920161977410316,0.8750943115779332,27.083306418042174,0.0019579212946285096,0.029091126418539455,0.0160547886043787,0.01990528777241707,0.19866124797400986,0.6585252285003662,0.5195505619049072,0.062933594
Ensemble (07),p27_02,0.9055836796760559,0.0014701439067721367,28.326401517429076,0.024903634563088417,0.8887853622436523,27.537659516215577,0.0017638462096718805,0.0273618112717356,0.013675971888005733,0.017137743532657623,0.19515116526044113,0.6757673621177673,0.5184130668640137,0.05360878
Ensemble (07),p27_03,0.9158957004547119,0.0008893278427422047,30.509381107429064,0.02067006565630436,0.9028317332267761,29.718342188297616,0.0010675693795617139,0.022610325632350787,0.011092976666986942,0.0133507139980793,0.24159785430853414,0.5577535033226013,0.4565347135066986,0.043483675
Ensemble (07),p27_04,0.897149920463562,0.0012288549914956093,29.1049936211667,0.02314670756459236,0.8818051133837018,28.317033728430943,0.0014736552257090807,0.02540558310491698,0.012529509142041206,0.01564609445631504,0.24836905157461475,0.6211386322975159,0.48355698585510254,0.04911478
Ensemble (07),p28_01,0.8394409418106079,0.002429765183478594,26.144356953099518,0.0375543087720871,0.8259286795343671,25.614043522834198,0.002745486529810088,0.039984667407614846,0.01634613797068596,0.01776854321360588,0.5071918119576613,0.17611579596996307,0.19708314538002014,0.06407572
Ensemble (07),p28_02,0.8963270783424377,0.0013090514112263918,28.83043296785011,0.027545971795916557,0.8862845642226083,28.265014642786646,0.0014912377144875272,0.029378355081592287,0.012169293127954006,0.013497636653482914,0.43347704414102506,0.21169370412826538,0.2265278548002243,0.047702752
Ensemble (07),p28_03,0.8654861450195312,0.0019421580946072936,27.117154207611794,0.03369967266917229,0.8524717007364545,26.52313941983892,0.0022270991134324242,0.036084048982177465,0.015415280126035213,0.01688019558787346,0.4463281239109305,0.19704219698905945,0.21915453672409058,0.060426798
Ensemble (07),p29_01,0.8949479460716248,0.0012763862032443285,28.94017898843334,0.02604723908007145,0.8873429468699864,28.456003042523726,0.001427203300409019,0.02753343034003462,0.010503108613193035,0.012280764989554882,0.3279113627648642,0.38327622413635254,0.34483635425567627,0.04117145
Ensemble (07),p29_02,0.8648670315742493,0.001953191589564085,27.092551544543547,0.03179312124848366,0.854046608720507,26.583634114903372,0.002196065682385649,0.03376175622854914,0.013454056344926357,0.015584414824843407,0.31243571880269017,0.4026150703430176,0.37106069922447205,0.052738916
Ensemble (07),p29_03,0.8426284193992615,0.0026822255458682775,25.71504705527115,0.036881569772958755,0.8250313230923244,25.073874803003424,0.0031095735861786772,0.03992179036140442,0.018150020390748978,0.020672401413321495,0.3307950280977249,0.4062686264514923,0.37380075454711914,0.0711468
Auxiliary (01),p08_01,0.8424129486083984,0.00306347431614995,25.137857563965312,0.04061080515384674,0.8424129486083984,25.137857563965312,0.00306347431614995,0.04061080515384674,0.019638394936919212,0.02107847109436989,0.4161339544056838,0.2613826096057892,0.255715936422348,0.07698106
Auxiliary (01),p08_02,0.8426812887191772,0.0025225819554179907,25.981547151970545,0.03711692988872528,0.8426812887191772,25.981547151970545,0.0025225819554179907,0.03711692988872528,0.02027822844684124,0.02157091535627842,0.45717015878480916,0.2393970936536789,0.23883534967899323,0.07948922
Auxiliary (01),p14_01,0.9440988898277283,0.0005342085496522486,32.722891656649246,0.01522951852530241,0.9440988898277283,32.722891656649246,0.0005342085496522486,0.01522951852530241,0.011858737096190453,0.014100335538387299,0.17428540179962215,0.6732990145683289,0.5648502111434937,0.046485376
Auxiliary (01),p14_02,0.9242273569107056,0.0007281689322553575,31.37767854429667,0.01842961646616459,0.9242273569107056,31.37767854429667,0.0007281689322553575,0.01842961646616459,0.012340881861746311,0.01417324598878622,0.2190199749777262,0.6021451354026794,0.5090450644493103,0.048375342
Auxiliary (01),p14_03,0.9390257596969604,0.0005440570530481637,32.64355555219517,0.015461010858416557,0.9390257596969604,32.64355555219517,0.0005440570530481637,0.015461010858416557,0.010855535976588726,0.012936820276081562,0.19899477415927183,0.6425250768661499,0.530572772026062,0.04255288
Auxiliary (01),p23_01,0.9188933372497559,0.0009000247810035944,30.457455326662824,0.020067086443305016,0.9188933372497559,30.457455326662824,0.0009000247810035944,0.020067086443305016,0.014188697561621666,0.016362514346837997,0.19116303678342902,0.6412842869758606,0.5532050728797913,0.055618662
Auxiliary (01),p23_02,0.9165737628936768,0.0011840828228741884,29.26617919015777,0.022665362805128098,0.9165737628936768,29.26617919015777,0.0011840828228741884,0.022665362805128098,0.01427395548671484,0.016538992524147034,0.2171850183219652,0.615168035030365,0.5132656693458557,0.055952832
