model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,mean_pred_avg_intensity,mean_pred_avg_intensity,mean_pred_rms_intensity,mean_pred_rms_intensity,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,sample_avg_intensity,sample_avg_intensity,sample_rms_intensity,sample_rms_intensity,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Ensemble (10),0.76973095536232,0.061723235320966165,0.004956223329322206,0.0022150353078070396,23.568850714165137,2.3566918281462264,0.04903414152148697,0.013353903597419491,0.29502907809283996,0.05034538410513842,0.3480233715640174,0.034863568106275535,0.74620131485992,0.06075856723435417,23.040345940746207,2.1651552135543923,0.005503375617425061,0.002298625410038106,0.051894650401340586,0.013167082589542835,0.29502907892068225,0.05034538575739814,0.34881500750780103,0.03478338850076785,0.02045927124304904,0.002573912770181505,0.023229828000896506,0.002823167905721218,0.3268566773334718,0.08821341837629308,0.41124657375944984,0.1640648492838041,0.374326912065347,0.10652482813181277,0.08019887,0.01008954562901699
Ensemble (10),0.8258325987392001,0.049612711163189736,0.0030708336206670436,0.001429545135020709,25.676077444437315,2.398413348771007,0.03836189996865061,0.010926224600348065,0.2957027488284641,0.05059585871564827,0.3504575573735767,0.03388449786550647,0.8045564624998305,0.04987726132263598,24.99909253914926,2.216628529194051,0.003527537793464338,0.001530467789597209,0.04132869883129994,0.011018430285474293,0.2957027455170949,0.050595859494033,0.3511072605848312,0.03388870658780226,0.018568467607514724,0.0031288956318473167,0.021144125662330124,0.0031932167230335445,0.31756584588082976,0.08994995224221969,0.4288181902633773,0.1654951405020988,0.3881068511141671,0.10740587252729644,0.07278707,0.012265048868903344
Ensemble (10),0.76973095536232,0.061723235320966165,0.004956223329322206,0.0022150353078070396,23.568850714165137,2.3566918281462264,0.04903414152148697,0.013353903597419491,0.29502907809283996,0.05034538410513842,0.3480233715640174,0.034863568106275535,0.74620131485992,0.06075856723435417,23.040345940746207,2.1651552135543923,0.005503375617425061,0.002298625410038106,0.051894650401340586,0.013167082589542835,0.29502907892068225,0.05034538575739814,0.34881500750780103,0.03478338850076785,0.02045927124304904,0.002573912770181505,0.023229828000896506,0.002823167905721218,0.3268566773334718,0.08821341837629308,0.41124657375944984,0.1640648492838041,0.374326912065347,0.10652482813181277,0.08019887,0.01008954562901699
