model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
BBB (10),0.9408174071993146,0.02232274218807811,0.0004878987562343143,0.0002698949186276012,33.59899288641437,1.9821192399258207,0.013612513377198094,0.0035274600101799017,0.93952349288123,0.02243484646610223,33.46537349963246,1.9699146233108433,0.0005023801312615,0.0002751798903735648,0.013801458911704123,0.003547831652780199,0.002637748643090623,0.0007184862402548988,0.0036672321148216256,0.0010310890271426612,0.18875142240208787,0.033453769152961416,0.626791512966156,0.04117161955729341,0.5114409863948822,0.04122567964837876,0.01033978356,0.0028164108776779053
BBB (15),0.9408658845084054,0.022318281045873103,0.00048736671700934863,0.0002696985711001553,33.603990411975026,1.982605681981858,0.013605533832950198,0.003526446751246944,0.9395239093190147,0.022434522415309185,33.46533954844411,1.9699542712368325,0.00050238572986836,0.00027518185441527377,0.013801568248087412,0.003547623932622841,0.0027138975648475,0.0007394959690220679,0.0037347171588667373,0.001049939588824319,0.183115130179305,0.032958650490651505,0.6334973863192968,0.0408964523746603,0.5224215907709939,0.041459082633929015,0.010638284242857144,0.00289877472066571
BBB (20),0.94088921887534,0.022316266704207773,0.0004871021856420286,0.0002696175414022258,33.606496201010955,1.9828568242748605,0.013602037701223531,0.0035260910646804982,0.939523185321263,0.022434307778298537,33.465357405149035,1.9699302211931977,0.0005023840925422972,0.00027519266352095455,0.013801600052309838,0.00354757610524367,0.00275131458017438,0.0007494942591955875,0.0037673726079186717,0.0010586919078902268,0.18049295436247406,0.032657571510930586,0.6366917269570487,0.04074101570592334,0.5277773107801165,0.041525159708408595,0.0107849588,0.002937965126613124
BBB (25),0.9409039991242545,0.02231490670414956,0.0004869391513888143,0.00026955785484722195,33.60802565078167,1.9829970471327039,0.013599870965949074,0.003525767334218569,0.9395234509876796,0.022434034617416724,33.46537512108448,1.9698900649028346,0.0005023802545286971,0.0002751894069790165,0.013801567900393646,0.003547436652962346,0.0027737321664711772,0.0007554735658574244,0.0037870431584970856,0.0010638468711094253,0.1789642773327761,0.032473674543323824,0.638609892981393,0.040613833470767836,0.530964708328247,0.04155683709079989,0.010872833902857142,0.002961401859786759
BBB (30),0.9409143822533744,0.022314044009851087,0.00048682847783696284,0.0002695205091390972,33.60908298456147,1.983129582792575,0.01359849726515152,0.0035255748039715777,0.9395241710117884,0.02243411662293848,33.4654096850395,1.9699300568506655,0.0005023786596055257,0.00027519395839440655,0.013801614342346044,0.003547419168989786,0.0027887173396135543,0.0007597006579547699,0.0038004001003822713,0.0010675503655211954,0.17794859915273825,0.032358967685578194,0.6398793135370527,0.04054035362085531,0.5330872935908181,0.04157877309948843,0.010931565957142857,0.002977970310401373
BBB (35),0.9409216846738543,0.022313541352536038,0.00048675377578802,0.0002695036888961103,33.60980980337075,1.9832370920344145,0.013597459159791426,0.0035255037589981917,0.9395247497363967,0.0224341379836033,33.46543252225388,1.96996584414079,0.0005023787714117543,0.0002752059800920787,0.013801576875302209,0.0035474575857656087,0.002799189443300823,0.0007625409486833376,0.0038095591722854118,0.001070023574085465,0.17724038888918614,0.032276874872808795,0.6407390594482422,0.04052052800046466,0.5345881692000798,0.041619554252265795,0.010972623065714286,0.002989107117609519
BBB (40),0.9409274339675904,0.022313467979705286,0.00048668957149072,0.0002694855974194778,33.61044061327072,1.9833585521496244,0.013596628420054865,0.0035254974236829614,0.9395252237149646,0.022434307584598332,33.46550746209994,1.9700261729465158,0.0005023730157179571,0.0002752080558330225,0.013801536628577266,0.003547514581453109,0.0028072773844801512,0.0007647309340674676,0.003816673432343729,0.0010720377640961963,0.17672095753639525,0.0322047403938666,0.6414231896400452,0.04051015808689006,0.535715378182275,0.04161639277238916,0.011004324334285713,0.0029976883798117694
BBB (45),0.9409312180110386,0.02231325600743722,0.00048664653815123714,0.00026947768352320864,33.610862290370136,1.9834202797422256,0.01359608442123442,0.0035255430504888365,0.9395250989520362,0.022434374001409352,33.46551787834179,1.9700376364155212,0.0005023730510017543,0.000275214031516796,0.013801558390851005,0.003547607594370902,0.0028133139712735455,0.000766301836918806,0.003821949840390209,0.0010733650208149476,0.17631309775645992,0.03214478822422168,0.6419477071080889,0.04047923359814929,0.5365970253944397,0.041626465298912854,0.011027987988571429,0.0030038494968748102
Ensemble (02),0.9356278657913208,0.021783752438702723,0.0005554090378739,0.00028205530889742546,32.97960912065816,1.8765726965135272,0.01440150567463461,0.0035103802916370223,0.9318766789776939,0.02180524554919913,32.63135297387178,1.8061805203374581,0.0005973190060882714,0.00028931808861097657,0.01491619524146824,0.0035209931924902417,0.0037577702663838318,0.0005284943713845316,0.0064238606419946,0.000814200236880077,0.3054171163916707,0.054393832161236326,0.5123173960617611,0.08417151915610162,0.38571293098585946,0.03849865586289163,0.014730186242857142,0.002071655071041092
Ensemble (03),0.9367410557610648,0.021811163643603172,0.0005407966902046572,0.0002790053124149939,33.107125101374535,1.9006698893293863,0.01421821165297708,0.0035082599790946744,0.9316704142661323,0.02178851287052321,32.632315693823685,1.8032495011802168,0.0005970540633868086,0.0002886798839434746,0.014907276071608022,0.003518408943955513,0.004819679599521366,0.0006760540079717922,0.0074442775920032945,0.0009299575498225002,0.22482880250769546,0.04310674492579635,0.5962902826922281,0.062286377511217565,0.44961628999028885,0.04006779443068331,0.01889280145714286,0.002650083009258139
