model_name,scan_name,ause_platt,ece_weighted_abs_10bins_platt,ece_weighted_sq_10bins_platt,ece_unweighted_abs_10bins_platt,ece_unweighted_sq_10bins_platt,ece_weighted_abs_20bins_platt,ece_weighted_sq_20bins_platt,ece_unweighted_abs_20bins_platt,ece_unweighted_sq_20bins_platt,ece_weighted_abs_50bins_platt,ece_weighted_sq_50bins_platt,ece_unweighted_abs_50bins_platt,ece_unweighted_sq_50bins_platt,ence_10bins_platt,ence_20bins_platt,ence_50bins_platt,nll_platt,mpiw_68_platt,mpiw_95_platt,ause_iso,ece_weighted_abs_10bins_iso,ece_weighted_sq_10bins_iso,ece_unweighted_abs_10bins_iso,ece_unweighted_sq_10bins_iso,ece_weighted_abs_20bins_iso,ece_weighted_sq_20bins_iso,ece_unweighted_abs_20bins_iso,ece_unweighted_sq_20bins_iso,ece_weighted_abs_50bins_iso,ece_weighted_sq_50bins_iso,ece_unweighted_abs_50bins_iso,ece_unweighted_sq_50bins_iso,ence_10bins_iso,ence_20bins_iso,ence_50bins_iso,nll_iso,mpiw_68_iso,mpiw_95_iso
BBB pi=0.75 mu=0.0 sigma1=1e-1 sigma2=1e-3 beta=1e-2 (50),p08_01,0.14058691105784052,0.03802600976100981,0.001946197018339976,0.03541287501653036,0.001789033309271769,0.04030443044046137,0.002092797130286064,0.040200460396314926,0.0020825479377363297,0.0420179653538868,0.002191946133345279,0.042981502873556954,0.0022339963638411085,0.679227300300077,0.6819117107099671,0.6821633737098045,-2.2772012,0.030417055,0.059948586,0.14068956017555675,0.023334988889480997,0.000891066163403206,0.020800192621019155,0.0007560208870046297,0.02423712393721494,0.0008851663089365601,0.02326185778567665,0.0008269945571901997,0.02455894369911449,0.0008862062205224078,0.024447927864230414,0.0008687372566593366,0.19869106686287408,0.19932306128384167,0.20024110354153601,-2.7252479610986806,0.03411622234195059,0.06723921465931039
BBB pi=0.75 mu=0.0 sigma1=1e-1 sigma2=1e-3 beta=1e-2 (50),p10_01,0.1853822248971953,0.045690462243126756,0.0032162779958906066,0.04526639620463051,0.0032159336263415535,0.050509739769848135,0.0036873821931307066,0.05223765065795496,0.0038191281904839886,0.05378135208517803,0.003974663372601303,0.05616920847795445,0.0041275025055698385,0.8741597238277178,0.882592049917994,0.884297649157328,-1.9712168,0.025165897,0.049599163,0.18545253321509145,0.02197356659877495,0.0007522901371666481,0.02230390416251287,0.0007926676385753781,0.02518371980955977,0.0008998744607660715,0.026053615181069606,0.0009534774007554524,0.027086775963412125,0.0009901292894608491,0.027931065491267577,0.0010278519503991617,0.3549000756215661,0.35313230667713225,0.35344153259427086,-2.5782781194806828,0.030499371371293403,0.06011081057138986
BBB pi=0.75 mu=0.0 sigma1=1e-1 sigma2=1e-3 beta=1e-2 (50),p14_01,0.20672489696250812,0.014630656922426297,0.000494883990300765,0.01499220768610634,0.0005272266530872139,0.016981048760842197,0.0006139990312439777,0.017933714013350633,0.0006634565943681771,0.018591777441860625,0.0006873883952551448,0.019558747087206146,0.0007263785017054018,0.4031161450148457,0.3982883501806448,0.3972551083442463,-2.946535,0.021019664,0.041427426,0.20681046706304404,0.029747487570798533,0.0014125936756071355,0.028762434853447826,0.0014447461596079334,0.030850807748325736,0.0015116512198232622,0.0305571830900092,0.001525386240488385,0.032045258456026515,0.0015694884257523801,0.03192884893806615,0.0015745113311827297,0.061043499419411985,0.061533511886106965,0.06119999510988265,-3.1226372756229663,0.026850992624431046,0.052920268803314754
BBB pi=0.75 mu=0.0 sigma1=1e-1 sigma2=1e-3 beta=1e-2 (50),p14_02,0.21751725804206537,0.028423790522100492,0.0011071384091142877,0.02643923838933309,0.0010201814950085114,0.02982547148181586,0.0011816270419074408,0.029519108973051367,0.0011660908815412558,0.030976691820421006,0.0012286818659362404,0.03143196140016828,0.001240352975388016,0.4367574701282546,0.4449589601812824,0.45109125987600346,-2.7609372,0.02365724,0.046625696,0.217546633251983,0.03416354743691564,0.001580940431146177,0.03024121840794882,0.0013992413635318878,0.034121318397217305,0.0015692706143013882,0.03238935916047349,0.0014818746938691616,0.034202821545254544,0.001564792314253261,0.03363992354334619,0.0015321308132486395,0.049985340292453384,0.05317259477095195,0.05487990181726861,-2.9964282792556176,0.029139520843575267,0.05743069902148419
BBB pi=0.75 mu=0.0 sigma1=1e-1 sigma2=1e-3 beta=1e-2 (50),p15_01,0.19643452474622644,0.031224453978122506,0.001360689245439315,0.02956742366154987,0.0012879629678601249,0.03350749730036091,0.0015004127375087644,0.03383655353596336,0.0015259442721829272,0.03516684033885185,0.0015946952365620372,0.036223959105355405,0.001644928534275011,0.6192960934192939,0.6292345778726526,0.6298067525178216,-2.4752357,0.02459702,0.048478045,0.19650039109333475,0.023112885339889748,0.0007821962533194691,0.020674113697475863,0.0006790942373874836,0.02312980313454586,0.0007913020873342496,0.02218217078008149,0.0007406309085208838,0.02349049980752027,0.0007905747392977605,0.02332711229518969,0.000773953624829322,0.15332131344126881,0.15444034018500974,0.15545210925713834,-2.8647026695066264,0.02988570572505796,0.05890134500680655
BBB pi=0.75 mu=0.0 sigma1=1e-1 sigma2=1e-3 beta=1e-2 (50),p20_01,0.2027372392310125,0.03473435940230249,0.0017456084715599496,0.03269638140996296,0.0016397873077132878,0.03829405045176097,0.00193199849206201,0.03831016339753803,0.0019302451288510324,0.04016178715229617,0.002034357109107767,0.04099680375079719,0.0020697947514735416,0.600136351764742,0.6151641315792018,0.6172907116126278,-2.3865137,0.026878979,0.052975528,0.20280887474895248,0.017647424529428253,0.0004813648798261072,0.015666634506649447,0.0004148687407679018,0.018040609141495,0.0004903168771454913,0.017387175873706213,0.00046336917556468523,0.018636535768705418,0.0004968110862953592,0.018569080138693052,0.0004894731307129506,0.17398075587453504,0.17703734883152542,0.1781436863438592,-2.7464123951117942,0.03208525690071693,0.06323641153826165
