model_name,mean_ssim,mean_ssim,mean_mse,mean_mse,mean_psnr,mean_psnr,mean_mae,mean_mae,sample_avg_ssim,sample_avg_ssim,sample_avg_psnr,sample_avg_psnr,sample_avg_mse,sample_avg_mse,sample_avg_mae,sample_avg_mae,mean_std,mean_std,rmv,rmv,ause,ause,spearman_corr_uncert_err,spearman_corr_uncert_err,pearson_corr_uncert_err,pearson_corr_uncert_err,mpiw_95,mpiw_95
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
BBB (45),0.8984543061256409,0.031700304058897295,0.0013489848410245032,0.0006779985560930505,29.25762975009973,2.304620084858544,0.025472727343440055,0.007260955390902142,0.8950912957721286,0.03186706588867791,29.047147775020306,2.2584525160349354,0.0014091359720979299,0.0006956858192364761,0.026044008206162185,0.007308173862166613,0.00663793221116066,0.0013474031183085557,0.007641110755503178,0.001355768224538142,0.2693689699380408,0.08370262486139975,0.47305648803710937,0.14186709072786682,0.4424979770183563,0.09449202286574884,0.026020218,0.005281723
BBB (50),0.8984613347053528,0.03169958541355797,0.00134884009254165,0.0006779423444161603,29.258108344152046,2.304629165285944,0.025471420735120775,0.007260829212771877,0.8950904807090759,0.03186645175849889,29.047125253614684,2.2583283398414493,0.0014091278040315955,0.0006956632791257879,0.026044050589948894,0.00730808937366159,0.006649602968245745,0.0013493895649277802,0.007649840265512467,0.0013569346135773525,0.26878531338020517,0.08351504868079013,0.4738482999801636,0.1416488549472954,0.44360467076301574,0.09432092010362657,0.026065968,0.005289509
Ensemble (02),0.8961838293075561,0.033308912902891084,0.0013950387807562948,0.0007193544796903534,29.140875810081504,2.364336935027864,0.025625919513404368,0.007638470148301102,0.8890178823471069,0.03405691975947914,28.72739923237839,2.288770611754186,0.001522841058904305,0.0007664914625801475,0.02683020005002618,0.0077985109005798475,0.00782836839556694,0.0018158468327538599,0.011079334244132042,0.0022937009638829015,0.4165237077496727,0.09315020767289642,0.3590177020430565,0.168510502731525,0.25235416561365126,0.08559457881751957,0.030686634,0.0071179857
Ensemble (03),0.8986081457138062,0.03305484575582725,0.0013552812568377703,0.0007025703541096604,29.276180920565658,2.3875570011742853,0.025208221524953844,0.007570620657493619,0.888977705637614,0.0340708442390791,28.707507033183198,2.277736425942353,0.0015278153835485378,0.0007635747896791656,0.02682496098180612,0.007766706904507142,0.010037622302770615,0.0022704179611350503,0.012892482653260231,0.002565401931325858,0.34866070123064047,0.10050541375877826,0.41007197797298434,0.17410367160703905,0.31759985148906705,0.09667057529964662,0.03934676,0.008899877
Ensemble (04),0.8996008896827697,0.03291053660204603,0.0013364657619968057,0.0006943184714011519,29.339063616700557,2.3911706689538006,0.025029068179428578,0.0075387409636787535,0.8883925527334213,0.0340925525542487,28.68032748335356,2.262091367730823,0.0015352541051106528,0.0007637653952686077,0.026899883169680835,0.007764387220892052,0.011234480533748864,0.0024987972956852515,0.013851634263992309,0.0026849500333995554,0.3263402236282091,0.09826771032773823,0.43000640988349914,0.17441402943934445,0.34897535741329194,0.10274592801389179,0.04403836,0.00979511
Ensemble (05),0.9003427457809449,0.03288505359560536,0.0013237912999466061,0.0006920882255705143,29.387814065944678,2.405757007760181,0.024905961342155933,0.007542731714126081,0.8884831233024597,0.03418592315366422,28.688264817696403,2.271043664562804,0.0015340045024640858,0.000766320556354973,0.026898491181433202,0.007787705346284116,0.011804936528205872,0.0026485285684373088,0.014238849505782128,0.0027891905300904836,0.31527212640448454,0.09557059240585059,0.4428353548049927,0.1732507316338944,0.3689259451627731,0.10479627473691401,0.046274498,0.010382048
Ensemble (06),0.9007884573936462,0.03281313651014917,0.0013156171236187219,0.0006879913022830856,29.416087764445347,2.409559345033286,0.02483255438506603,0.007524653242412513,0.8882747300465901,0.034312938700072744,28.679920504327253,2.2716186073113103,0.0015369910448013494,0.0007676801668927669,0.026929887055108945,0.0077941562443338405,0.012262535877525807,0.0027972632363866393,0.014602965638041497,0.0029096373332437157,0.30685846407019773,0.0934736514520773,0.45198904812335966,0.17136838683387515,0.3822320067882538,0.10476322163860269,0.048068255,0.01096507
Ensemble (07),0.901106309890747,0.03278668640918877,0.0013113726547453553,0.000687847829826024,29.43462639579625,2.41922559703676,0.024782985299825668,0.007536155157159599,0.8883258615221296,0.034259209762987276,28.682906022210965,2.2764194776884428,0.0015366737325010554,0.00076844985649412,0.026924019700714518,0.007804380152493374,0.012487802989780902,0.002833110144179633,0.014734070934355258,0.0029240800738611294,0.3001451031470126,0.09207560583568188,0.45986576557159425,0.17012000691068857,0.3939683109521866,0.10510950460065353,0.04895129,0.0111055905
Evidential (01),0.8933122086524964,0.032301928385964816,0.0014329923666082322,0.0007020545741826155,28.966772711200115,2.2421559007845904,0.025977758951485158,0.007415617770271529,0.8933122086524964,0.032301928385964816,28.966772711200115,2.2421559007845904,0.0014329923666082322,0.0007020545741826155,0.025977758951485158,0.007415617770271529,0.023794006258249283,0.0033652618938744606,0.026880326345562935,0.002674052516066759,0.29028900125411833,0.09545994701699992,0.47825608253479,0.17140936959306044,0.42978305876255035,0.11434826266208983,0.0932708,0.013191572
MC Dropout 15% (02),0.8994273209571838,0.03199509445088112,0.0013294314895756542,0.0006780316684790492,29.337729178771415,2.339485541031568,0.02504330825060606,0.00743438461517022,0.8976324701309204,0.03207892239939111,29.223886921200343,2.3118101017763717,0.0013607683370355516,0.0006870186251407443,0.025348606593906878,0.007455146310583189,0.00384715155698359,0.0007604945446875412,0.005524348104372621,0.0009233207861073026,0.39869232690515327,0.09524525910196258,0.36387619823217393,0.171886075897546,0.25382343858480455,0.08308120424308933,0.015080557,0.0029810818
